x,y,z
15.384198,-3.464126,0.125702
15.264108,-3.471967,0.126215
15.151194,-3.46575,0.124537
15.045905,-3.453586,0.122126
14.898481,-3.431388,0.121361
14.795918,-3.420258,0.120939
14.686456,-3.409352,0.120717
14.569283,-3.40124,0.121447
14.449873,-3.3925,0.122997
14.328409,-3.382531,0.12252
14.206781,-3.372136,0.122153
14.086425,-3.362081,0.121674
13.964844,-3.351771,0.119828
13.842393,-3.340296,0.118405
13.716355,-3.329648,0.117742
13.586824,-3.31731,0.117479
13.453377,-3.307313,0.116384
13.316496,-3.295709,0.11609
13.176449,-3.284595,0.117255
13.035635,-3.27169,0.118871
12.894885,-3.258014,0.119936
12.755338,-3.244171,0.119583
12.615563,-3.232245,0.118512
12.475766,-3.22145,0.118689
12.336668,-3.214574,0.118881
12.199368,-3.218446,0.12176
12.068062,-3.230584,0.122778
11.942,-3.234687,0.12405
11.819209,-3.239377,0.122222
11.694034,-3.244472,0.123576
11.565842,-3.248372,0.12622
11.435231,-3.247846,0.130831
11.300368,-3.251063,0.132711
11.162877,-3.254085,0.134136
11.024342,-3.259287,0.134703
10.886116,-3.263715,0.134742
10.74631,-3.270816,0.132105
10.607794,-3.276837,0.13007
10.468181,-3.284591,0.128929
10.328486,-3.289064,0.127994
10.188399,-3.295306,0.126148
10.047327,-3.303003,0.124246
9.905125,-3.308271,0.123381
9.766543,-3.313859,0.123347
9.628695,-3.317438,0.123541
9.489234,-3.32079,0.125076
9.352174,-3.325719,0.127152
9.214586,-3.329498,0.127973
9.076764,-3.335275,0.127617
8.939188,-3.338122,0.128213
8.803503,-3.341683,0.128507
8.666485,-3.345413,0.129098
8.530908,-3.352725,0.128517
8.393474,-3.359825,0.128107
8.258737,-3.363941,0.129003
8.12632,-3.368381,0.129478
7.99515,-3.372489,0.129843
7.865088,-3.376257,0.129627
7.736773,-3.381113,0.128809
7.608964,-3.384311,0.127923
7.481995,-3.390188,0.127459
7.355173,-3.393508,0.127831
7.229351,-3.398278,0.127935
7.103787,-3.402726,0.126962
6.978568,-3.406098,0.127681
6.852024,-3.412217,0.128411
6.726284,-3.413633,0.128806
6.60051,-3.4156,0.12905
6.475062,-3.418485,0.127883
6.349698,-3.421805,0.129222
6.222531,-3.425038,0.129433
6.094919,-3.42842,0.128905
5.967133,-3.432898,0.127456
5.839415,-3.438718,0.127181
5.711017,-3.443664,0.127244
5.582695,-3.448428,0.128609
5.454355,-3.451922,0.127012
5.325731,-3.454809,0.125837
5.195468,-3.459775,0.125053
5.065526,-3.464374,0.124422
4.935083,-3.468929,0.124398
4.804728,-3.472843,0.125566
4.674609,-3.478917,0.125101
4.543389,-3.485437,0.123665
4.40961,-3.491251,0.124328
4.27863,-3.497303,0.124536
4.147342,-3.501071,0.124143
4.01571,-3.506138,0.123563
3.8847,-3.509205,0.122238
3.75379,-3.513681,0.121665
3.623145,-3.518055,0.121644
3.491293,-3.521365,0.120301
3.360831,-3.523507,0.119599
3.22949,-3.529555,0.119206
3.098969,-3.534887,0.119267
2.968492,-3.540815,0.119365
2.838302,-3.544929,0.119174
2.707835,-3.551376,0.118716
2.577492,-3.554921,0.118773
2.44677,-3.558589,0.118268
2.318371,-3.561613,0.119988
2.188595,-3.56512,0.119561
2.058721,-3.568029,0.118161
1.928274,-3.570548,0.116121
1.799021,-3.577111,0.115504
1.668956,-3.58212,0.115189
1.539407,-3.585622,0.114837
1.409992,-3.590729,0.115106
1.28109,-3.594713,0.115839
1.151795,-3.597949,0.116395
1.022714,-3.603504,0.118961
0.896831,-3.601508,0.120178
0.776647,-3.590724,0.120069
0.676455,-3.558846,0.123082
0.596294,-3.476075,0.118553
0.594509,-3.368602,0.112383
0.565986,-3.263119,0.113006
0.501288,-3.153827,0.108773
0.45082,-3.052805,0.108136
0.386344,-2.931971,0.113558
0.336397,-2.79039,0.116609
0.295318,-2.645811,0.112689
0.251154,-2.509914,0.11388
0.214733,-2.376129,0.114781
0.189496,-2.240694,0.113202
0.161506,-2.109436,0.112095
0.142666,-1.981665,0.109986
0.130575,-1.857243,0.109669
0.122699,-1.732665,0.108702
0.119177,-1.609505,0.108891
0.120185,-1.487902,0.110067
0.127641,-1.368007,0.111823
0.14168,-1.249593,0.113024
0.16208,-1.135122,0.113843
0.193618,-1.024402,0.1143
0.242239,-0.92954,0.118527
0.283036,-0.793153,0.121482
0.256544,-0.682128,0.124283
0.184189,-0.607034,0.126885
0.150541,-0.488202,0.124099
0.102187,-0.346563,0.128345
0.067757,-0.232001,0.127808
0.054393,-0.11134,0.1289
0.075744,-0.004315,0.12786
0.172665,0.073711,0.123377
0.28319,0.05207,0.119052
0.385109,0.002637,0.117563
0.487612,-0.052135,0.126219
0.363389,-0.041221,0.124939
0.272895,0.001593,0.124658
0.156139,0.00454,0.122772
